Event Type,Date,Time,Registration Number,Direction,Owner
GRANTED,2024-09-20,12:47:28,X0640KC,IN,
GRANTED,2024-09-20,12:47:49,X0640KC,OUT,
GRANTED,2024-09-20,12:55:08,X0640KC,IN,
GRANTED,2024-09-20,13:01:43,X0640KC,IN,
GRANTED,2024-09-20,13:11:06,X0640KC,IN,
GRANTED,2024-09-20,15:39:05,X0640KC,IN,
GRANTED,2024-09-20,15:39:22,X0640KC,OUT,
GRANTED,2024-09-20,16:01:20,X0640KC,IN,
GRANTED,2024-09-20,16:01:52,X0640KC,OUT,
GRANTED,2024-09-20,16:02:13,X0640KC,IN,
GRANTED,2024-09-24,08:26:43,BP1180CP,IN,
GRANTED,2024-09-24,08:26:45,BP1180CP,OUT,
GRANTED,2024-09-24,08:26:47,BP1180CP,IN,
GRANTED,2024-09-24,08:26:53,BP1180CP,OUT,
GRANTED,2024-09-24,08:26:56,BP1180CP,IN,
GRANTED,2024-09-24,08:27:00,BP1180CP,OUT,
GRANTED,2024-09-24,08:27:03,BP1180CP,IN,
GRANTED,2024-09-24,08:27:26,BP1180CP,OUT,
GRANTED,2024-09-24,08:27:55,BP1180CP,IN,
GRANTED,2024-09-24,08:27:56,BP1180CP,OUT,
GRANTED,2024-09-24,08:28:53,X0640KC,IN,
GRANTED,2024-09-24,08:29:15,X0640KC,OUT,
GRANTED,2024-09-24,08:29:18,X0640KC,IN,
GRANTED,2024-09-24,10:01:00,X0640KC,IN,
GRANTED,2024-09-24,12:18:57,X0640KC,IN,
GRANTED,2024-09-24,12:18:58,X0640KC,OUT,
GRANTED,2024-09-24,12:18:58,X0640KC,IN,
GRANTED,2024-09-24,12:19:02,X0640KC,OUT,
GRANTED,2024-09-24,12:19:03,X0640KC,IN,
GRANTED,2024-09-24,12:19:05,X0640KC,OUT,
GRANTED,2024-09-24,12:19:05,X0640KC,IN,
GRANTED,2024-09-24,12:19:07,X0640KC,OUT,
GRANTED,2024-09-24,13:26:25,X0640KC,IN,
GRANTED,2024-09-24,13:29:38,X0640KC,IN,
GRANTED,2024-09-24,13:45:23,BP1180CP,IN,
GRANTED,2024-09-24,13:45:31,BP1180CP,OUT,
GRANTED,2024-09-24,13:45:43,BP1180CP,IN,
GRANTED,2024-09-24,13:45:49,BP1180CP,OUT,
GRANTED,2024-09-24,13:45:53,BP1180CP,IN,
GRANTED,2024-09-24,13:45:57,BP1180CP,OUT,
GRANTED,2024-09-24,13:46:04,BP1180CP,IN,
GRANTED,2024-09-24,13:46:06,BP1180CP,OUT,
GRANTED,2024-09-24,13:46:09,BP1180CP,IN,
GRANTED,2024-09-24,13:46:10,BP1180CP,OUT,
GRANTED,2024-09-24,13:46:15,X0640KC,IN,
GRANTED,2024-09-24,13:51:27,BP1180CP,IN,
GRANTED,2024-09-24,13:51:35,X0640KC,IN,
GRANTED,2024-09-24,13:51:40,X0640KC,OUT,
